Pelvis_extension,Pelvis_lateral_flexion_rotation,Pelvis_axial_rotation,LeftHip_flexion,LeftHip_adduction,LeftHip_external_rotation,LeftKnee_flexion,LeftKnee_adduction,LeftKnee_external_rotation,LeftAnkle_dorsiflexion,LeftAnkle_inversion,LeftAnkle_internal_rotation,RightHip_flexion,RightHip_adduction,RightHip_external_rotation,RightKnee_flexion,RightKnee_adduction,RightKnee_external_rotation,RightAnkle_dorsiflexion,RightAnkle_inversion,RightAnkle_internal_rotation,Thorax_extension,Thorax_lateral_flexion_rotation,Thorax_axial_rotation,LeftScapula_protraction,LeftScapula_medial_rotation,LeftScapula_posterior_tilt,LeftShoulder_flexion,LeftShoulder_abduction,LeftShoulder_external_rotation,LeftElbow_flexion,LeftElbow_abduction,LeftElbow_pronation,LeftWrist_flexion,LeftWrist_abduction,LeftWrist_pronation,Neck_flexion,Neck_left-ward_tilt,Neck_right-ward_rotation,RightScapula_protraction,RightScapula_medial_rotation,RightScapula_posterior_tilt,RightShoulder_flexion,RightShoulder_abduction,RightShoulder_external_rotation,RightElbow_flexion,RightElbow_abduction,RightElbow_pronation,RightWrist_flexion,RightWrist_abduction,RightWrist_pronation
1.891344,-7.489774,64.40229,15.77002,-2.343035,16.00706,-27.45958,-0.003763434,0,11.65203,-16.69199,-33.17567,20.20827,5.087466,8.563414,-35.53653,-0.01938408,0.05595291,17.30419,-7.848454,-17.05524,2.93565,1.979997,69.26079,-13.76483,2.586641,16.60707,-15.8756,6.543947,-2.70957,78.18805,-24.34618,5.085962,7.289546,-43.54931,-8.979863,-2.213816,0.452541,1.509477,26.78818,-0.6594821,-4.464273,-9.317766,8.256187,-4.10021,77.44859,-30.33722,12.21889,-16.60845,-47.27907,-14.00327
2.05871,-7.501003,64.78553,16.17079,-2.412238,15.34334,-28.25812,-0.004275699,0,11.59021,-16.99213,-33.01766,20.7336,5.214378,8.301181,-36.57192,-0.01725306,0.04845664,17.42951,-7.943455,-17.35466,3.067267,1.980085,69.64002,-13.916,2.653098,16.60456,-15.87892,6.570085,-2.726045,78.28871,-24.35218,5.170968,7.0792,-43.50691,-9.210041,-2.215672,0.1282573,2.024101,26.60322,-0.7023484,-4.456808,-9.341949,8.321216,-4.131732,77.56947,-30.3896,12.21638,-16.84599,-47.48191,-14.05146
2.494028,-7.523617,65.68324,16.85139,-2.736918,13.34306,-29.50823,-0.005320718,0,12.52139,-17.97788,-33.28804,21.60387,5.363338,7.535984,-38.26932,-0.02467064,0.06852804,17.72413,-8.084908,-17.79148,3.194818,2.019701,70.49114,-14.12531,2.782701,16.61658,-15.83656,6.716416,-2.69063,78.40278,-24.21535,5.381029,7.013667,-43.50451,-9.436277,-2.226774,-0.6023476,3.088194,26.32761,-0.7213567,-4.409755,-9.104527,8.555244,-4.129567,77.64091,-30.58415,12.34333,-17.33484,-47.9073,-14.22973
2.830131,-7.398365,66.73978,17.18255,-2.905501,11.10117,-29.98554,-0.005682718,0,12.96275,-18.62726,-35.21453,22.02358,5.363256,6.911144,-39.26761,-0.03310593,0.09278741,17.68797,-7.921722,-18.59766,3.21065,2.032261,71.49146,-14.24896,2.913451,16.55505,-15.88603,6.69656,-2.492855,78.52472,-24.23683,5.180243,6.961424,-43.60286,-9.550552,-2.233444,-1.491126,4.222157,26.08013,-0.7530966,-4.249667,-8.820514,8.701681,-4.011862,77.6676,-30.81227,12.33523,-17.80177,-48.08657,-14.48061
2.944771,-7.28898,67.33285,17.24113,-3.000372,9.593291,-29.92312,-0.005648566,0.02797646,13.16479,-19.03131,-36.21956,22.10976,5.294626,6.565606,-39.57938,-0.03630245,0.1008706,17.58888,-7.415823,-19.16017,3.205401,2.056112,72.05714,-14.30674,2.980558,16.52143,-15.91959,6.678495,-2.38892,78.56511,-24.20739,5.081761,7.074126,-43.70274,-9.490592,-2.281133,-1.965407,4.810556,25.96455,-0.7689564,-4.178233,-8.694229,8.721095,-3.944393,77.63779,-30.91261,12.30804,-17.94889,-48.27855,-14.54572
3.123241,-7.053612,68.65908,17.20505,-3.260008,5.810519,-29.2649,-0.005293397,0,13.48674,-19.65211,-38.03536,22.15846,5.125367,5.856485,-39.94511,-0.03320838,0.09278741,17.47554,-6.96359,-20.15106,3.176813,2.175914,73.35965,-14.39357,3.101118,16.50663,-16.0573,6.621758,-2.170702,78.59846,-24.09497,4.834605,7.395366,-43.87043,-9.310972,-2.522122,-2.962827,5.980649,25.7881,-0.8251688,-4.103651,-8.508055,8.649858,-3.871993,77.42873,-31.36148,12.07914,-18.14182,-48.63314,-14.60028
3.287297,-6.798839,70.20638,16.91378,-3.504994,1.359411,-27.94527,-0.004719661,0.02797646,13.45678,-20.30628,-39.7147,22.147,4.909793,5.050668,-40.17681,-0.03534623,0.09487279,17.29523,-6.297694,-21.56941,3.114579,2.386195,74.89922,-14.43222,3.208236,16.58855,-16.34094,6.591094,-1.915854,78.65526,-23.99198,4.595038,7.409838,-43.9022,-9.408198,-2.943508,-4.007094,7.133829,25.69646,-0.90834,-4.134365,-8.41445,8.488643,-3.945841,77.21584,-31.44791,11.94042,-18.49122,-48.89125,-14.89286
3.418504,-6.682405,71.05608,16.67088,-3.637848,-0.9803861,-27.06269,-0.00431668,0.02797646,13.30822,-20.7114,-40.64297,22.16424,4.808276,4.540967,-40.32771,-0.03520963,0.09691329,17.25108,-6.066041,-22.29443,3.059343,2.500041,75.75388,-14.44252,3.330619,16.60017,-16.5214,6.60444,-1.781921,78.70644,-23.96098,4.488426,7.401015,-43.91021,-9.469194,-3.174532,-4.541878,7.709226,25.67795,-0.9617453,-4.171102,-8.383493,8.395572,-4.034654,77.10951,-31.4465,11.85209,-18.88373,-48.94569,-15.25025
3.662281,-6.496411,72.89254,16.07652,-3.772921,-5.698873,-24.94246,-0.003380944,0,12.62612,-21.74544,-42.78977,22.34,4.512877,3.408639,-40.73589,-0.03626831,0.09487279,17.20824,-5.692081,-23.78539,3.035059,2.768713,77.62714,-14.41187,3.571472,16.59621,-16.80171,6.665798,-1.511343,78.68291,-23.93925,4.363992,7.560188,-43.8519,-9.725587,-3.619473,-5.760684,8.923084,26.15109,-1.133941,-4.285554,-8.501657,8.289866,-4.261041,76.96825,-31.44894,11.69427,-19.80087,-49.10785,-15.97786
3.842826,-6.339256,74.8826,15.28471,-3.556657,-9.737426,-22.39552,-0.002547661,0,11.31983,-23.20514,-45.60848,22.66871,3.995114,2.098351,-41.26804,-0.03987464,0.1027921,17.02104,-5.54595,-25.18028,3.030734,2.956693,79.63921,-14.33205,3.699258,16.58638,-16.87257,6.77691,-1.299894,78.56304,-23.93225,4.304797,7.555619,-43.78627,-10.18721,-3.93935,-6.744115,10.17373,26.20447,-1.250881,-4.354242,-8.777672,8.18403,-4.418326,76.9442,-31.54351,11.66772,-20.06685,-49.3561,-15.82646
